"Date","Price","Open","High","Low","Vol.","Change %"
"06/16/2014","31.80","32.20","32.25","31.57","635.27K","-0.47%"
"06/13/2014","31.95","32.15","32.45","31.15","1.25M","-1.08%"
"06/12/2014","32.30","31.60","32.35","31.50","1.08M","3.03%"
"06/11/2014","31.35","30.95","31.50","30.55","1.01M","1.79%"
"06/10/2014","30.80","30.25","30.80","30.10","621.86K","2.50%"
"06/09/2014","30.05","30.15","30.35","29.90","388.41K","-0.17%"
"06/06/2014","30.10","29.15","30.20","29.00","898.89K","2.91%"
"06/05/2014","29.25","29.05","29.55","28.95","795.72K","1.56%"
"06/04/2014","28.80","28.90","28.95","28.55","532.57K","-0.52%"
"06/03/2014","28.95","28.75","29.20","28.50","585.90K","0.35%"
"06/02/2014","28.85","28.45","29.05","28.25","549.16K","0.35%"
"05/30/2014","28.75","28.55","28.75","27.90","789.23K","0.52%"
"05/29/2014","28.60","28.25","28.95","28.20","734.23K","0.88%"
"05/28/2014","28.35","28.35","28.55","28.15","1.68M","-0.18%"
"05/27/2014","28.40","29.25","29.25","28.40","1.31M","-4.05%"
"05/23/2014","29.60","29.80","30.05","29.50","586.07K","-0.84%"
"05/22/2014","29.85","29.70","29.85","29.48","433.64K","1.53%"
"05/21/2014","29.40","29.15","29.50","28.80","649.69K","0.34%"
"05/20/2014","29.30","28.95","29.50","28.90","373.12K","0.69%"
"05/19/2014","29.10","29.30","29.55","28.88","420.46K","0.17%"
"05/16/2014","29.05","29.60","29.60","28.95","491.52K","-2.19%"
"05/15/2014","29.70","29.90","30.10","29.35","447.79K","-1.49%"
"05/14/2014","30.15","29.75","30.35","29.60","471.11K","2.73%"
"05/13/2014","29.35","29.90","30.12","29.30","492.72K","-1.68%"
"05/12/2014","29.85","30.35","30.60","29.80","357.32K","0.00%"
"05/09/2014","29.85","30.00","30.35","29.60","362.96K","-0.50%"
"05/08/2014","30.00","29.90","30.18","29.73","346.97K","0.50%"
"05/07/2014","29.85","30.85","31.00","29.65","643.72K","-4.02%"
"05/06/2014","31.10","31.35","31.40","30.84","303.68K","-0.32%"
"05/05/2014","31.20","31.60","31.65","31.00","479.01K","0.81%"
"05/02/2014","30.95","30.10","31.20","29.80","673.62K","3.51%"
"05/01/2014","29.90","30.15","30.25","29.70","597.23K","-1.97%"
"04/30/2014","30.50","30.35","30.95","29.80","617.15K","-0.49%"
"04/29/2014","30.65","29.60","30.75","29.60","629.35K","3.20%"
"04/28/2014","29.70","29.70","29.95","29.43","629.42K","0.00%"
"04/25/2014","29.70","29.40","29.70","29.20","442.27K","2.24%"
"04/24/2014","29.05","29.20","30.05","28.95","727.55K","-2.35%"
"04/23/2014","29.75","29.65","30.10","28.95","716.21K","0.51%"
"04/22/2014","29.60","28.45","29.70","28.25","1.23M","3.86%"
"04/21/2014","28.50","28.75","28.85","27.85","1.01M","-1.55%"
"04/17/2014","28.95","28.65","29.15","28.65","683.05K","0.70%"
"04/16/2014","28.75","29.00","29.20","28.50","842.74K","-0.86%"
"04/15/2014","29.00","29.15","29.35","28.45","902.23K","-4.13%"
"04/14/2014","30.25","29.90","30.70","29.62","942.46K","2.54%"
"04/11/2014","29.50","29.35","30.00","29.16","1.09M","0.51%"
"04/10/2014","29.35","30.25","30.55","29.30","865.50K","-2.17%"
"04/09/2014","30.00","29.80","30.25","29.35","1.08M","-0.50%"
"04/08/2014","30.15","30.20","30.25","29.55","761.55K","2.03%"
"04/07/2014","29.55","29.70","30.35","29.40","843.74K","-0.84%"
"04/04/2014","29.80","29.90","30.75","29.75","1.28M","3.11%"
"04/03/2014","28.90","28.80","29.10","28.50","692.46K","-0.34%"
"04/02/2014","29.00","29.05","29.50","28.95","1.05M","2.84%"
"04/01/2014","28.20","28.15","28.60","28.05","833.86K","1.08%"
"03/31/2014","27.90","29.10","29.10","27.85","1.46M","-3.96%"
"03/28/2014","29.05","28.75","29.40","28.20","1.02M","0.87%"
"03/27/2014","28.80","28.80","29.60","28.10","1.41M","-0.35%"
"03/26/2014","28.90","30.00","30.20","28.75","1.18M","-3.18%"
"03/25/2014","29.85","30.30","30.45","29.75","959.90K","-0.33%"
"03/24/2014","29.95","30.90","31.20","29.90","1.35M","-4.47%"
"03/21/2014","31.35","32.10","32.30","30.90","2.96M","-1.26%"
"03/20/2014","31.75","31.55","32.20","31.30","794.62K","0.00%"
"03/19/2014","31.75","33.80","33.95","31.55","1.46M","-6.89%"
"03/18/2014","34.10","33.75","34.65","33.75","764.62K","-1.02%"
"03/17/2014","34.45","36.65","36.70","34.35","1.39M","-5.75%"
"03/14/2014","36.55","37.15","37.45","36.08","992.03K","-0.41%"
"03/13/2014","36.70","35.55","36.80","35.35","1.11M","2.66%"
